,Original Image,Gabor1,Gabor2,Gabor3,Gabor4,Gabor5,Gabor6,Gabor7,Gabor8,Gabor9,Gabor10,Gabor11,Gabor12,Gabor13,Gabor14,Gabor15,Gabor16,Gabor17,Gabor18,Gabor19,Gabor20,Gabor21,Gabor22,Gabor23,Gabor24,Gabor25,Gabor26,Gabor27,Gabor28,Gabor29,Gabor30,Gabor31,Gabor32
2635,135,0,0,255,255,216,120,87,48,0,0,255,255,0,0,0,0,0,0,255,255,79,1,255,50,0,0,255,255,61,32,111,66
2636,130,0,0,255,255,214,118,87,48,0,0,255,255,0,0,0,0,0,0,255,255,75,1,254,47,0,0,255,255,59,31,106,63
2637,123,0,0,255,255,211,116,85,47,0,0,255,255,0,0,0,0,0,0,255,255,71,1,249,46,0,0,255,255,55,29,98,58
2638,122,0,0,255,255,209,114,85,46,0,0,255,255,0,0,0,0,0,0,255,255,82,1,254,45,0,0,255,255,66,35,107,63
2639,126,0,0,255,255,208,112,84,45,0,0,255,255,0,0,0,0,0,0,255,255,79,1,255,45,0,0,255,255,60,31,123,76
2640,123,0,0,255,255,207,112,84,45,0,0,255,255,0,0,0,0,0,0,255,255,80,1,253,44,0,0,255,255,63,34,112,67
2641,113,0,0,255,255,207,112,84,45,0,0,255,255,0,0,0,0,0,0,255,255,75,1,248,43,0,0,255,255,59,31,96,55
2642,126,0,0,255,255,205,113,83,46,0,0,255,255,0,0,0,0,0,0,255,255,67,1,241,45,0,0,255,255,52,28,98,59
2643,129,0,0,255,255,204,114,83,46,0,0,255,255,0,0,0,0,0,0,255,255,75,1,242,48,0,0,255,255,59,31,104,62
2644,131,0,0,255,255,204,114,82,46,0,0,255,255,0,0,0,0,0,0,255,255,76,1,241,48,0,0,255,255,60,31,106,64
2645,129,0,0,255,255,204,113,83,46,0,0,255,255,0,0,0,0,0,0,255,255,70,1,241,46,0,0,255,255,55,29,103,62
2646,113,0,0,255,255,208,112,84,45,0,0,255,255,0,0,0,0,0,0,255,255,78,1,252,43,0,0,255,255,60,31,101,58
2647,119,0,0,255,255,208,112,84,45,0,0,255,255,0,0,0,0,0,0,255,255,76,1,254,43,0,0,255,255,60,32,108,64
2648,122,0,0,255,255,208,113,84,46,0,0,255,255,0,0,0,0,0,0,255,255,75,1,253,45,0,0,255,255,57,30,112,68
2649,126,0,0,255,255,208,114,84,46,0,0,255,255,0,0,0,0,0,0,255,255,83,1,251,47,0,0,255,255,67,36,107,63
2650,132,0,0,255,255,209,116,85,47,0,0,255,255,0,0,0,0,0,0,255,255,73,1,248,48,0,0,255,255,56,29,110,67
2651,130,0,0,255,255,212,117,86,47,0,0,255,255,0,0,0,0,0,0,255,255,73,1,250,47,0,0,255,255,57,30,103,62
2652,125,0,0,255,255,216,118,87,48,0,0,255,255,0,0,0,0,0,0,255,255,79,1,255,47,0,0,255,255,63,33,99,57
2653,133,0,0,255,255,221,120,90,49,0,0,255,255,0,0,0,0,0,0,255,255,85,1,255,48,0,0,255,255,67,35,123,75
2654,135,0,0,255,255,225,122,91,49,0,0,255,255,0,0,0,0,0,0,255,255,81,1,255,48,0,0,255,255,61,32,127,78
2655,130,0,0,255,255,226,124,92,50,0,0,255,255,0,0,0,0,0,0,255,255,81,1,255,49,0,0,255,255,65,35,99,56
2656,137,0,0,255,255,227,127,92,51,0,0,255,255,0,0,0,0,0,0,255,255,75,1,255,51,0,0,255,255,58,31,101,59
2657,154,0,0,255,255,229,128,93,52,0,0,255,255,0,0,0,0,0,0,255,255,82,1,255,54,0,0,255,255,64,34,125,77
2658,146,0,0,255,255,229,128,93,52,0,0,255,255,0,0,0,0,0,0,255,255,79,1,255,54,0,0,255,255,60,31,115,69
2659,138,0,0,255,255,228,127,92,51,0,0,255,255,0,0,0,0,0,0,255,255,78,1,255,51,0,0,255,255,65,35,95,54
2660,133,0,0,255,255,228,125,92,51,0,0,255,255,0,0,0,0,0,0,255,255,76,1,255,50,0,0,255,255,57,29,111,66
2661,139,0,0,255,255,226,123,92,50,0,0,255,255,0,0,0,0,0,0,255,255,85,1,255,49,0,0,255,255,67,35,124,75
2662,130,0,0,255,255,223,121,90,49,0,0,255,255,0,0,0,0,0,0,255,255,88,1,255,49,0,0,255,255,69,36,119,71
2663,131,0,0,255,255,222,120,90,49,0,0,255,255,0,0,0,0,0,0,255,255,84,1,255,48,0,0,255,255,66,35,118,71
2664,130,0,0,255,255,223,120,90,49,0,0,255,255,0,0,0,0,0,0,255,255,82,1,255,47,0,0,255,255,64,34,118,71
2665,127,0,0,255,255,226,122,92,49,0,0,255,255,0,0,0,0,0,0,255,255,88,1,255,48,0,0,255,255,69,37,118,69
2666,138,0,0,255,255,230,125,93,50,0,0,255,255,0,0,0,0,0,0,255,255,89,1,255,49,0,0,255,255,70,37,126,76
2667,140,0,0,255,255,235,128,95,52,0,0,255,255,0,0,0,0,0,0,255,255,85,1,255,51,0,0,255,255,64,33,127,77
2668,144,0,0,255,255,240,132,97,54,0,0,255,255,0,0,0,0,0,0,255,255,88,1,255,53,0,0,255,255,71,38,112,66
2669,149,0,0,255,255,245,136,99,55,0,0,255,255,0,0,0,0,0,0,255,255,83,1,255,55,0,0,255,255,64,33,118,70
2670,161,0,0,255,255,251,139,101,56,0,0,255,255,0,0,0,0,0,0,255,255,87,1,255,58,0,0,255,255,68,36,126,77
2671,157,0,0,255,255,251,141,101,57,0,0,255,255,0,0,0,0,0,0,255,255,80,1,255,58,0,0,255,255,61,32,113,67
2672,158,0,0,255,255,252,141,102,57,0,0,255,255,0,0,0,0,0,0,255,255,89,1,255,58,0,0,255,255,73,39,110,64
2673,158,0,0,255,255,253,140,102,57,0,0,255,255,0,0,0,0,0,0,255,255,87,1,255,58,0,0,255,255,65,34,133,82
2674,155,0,0,255,255,252,138,102,56,0,0,255,255,0,0,0,0,0,0,255,255,91,1,255,55,0,0,255,255,72,38,130,79
2675,138,0,0,255,255,247,135,100,55,0,0,255,255,0,0,0,0,0,0,255,255,87,1,255,53,0,0,255,255,68,35,111,64
2676,146,0,0,255,255,243,133,98,54,0,0,255,255,0,0,0,0,0,0,255,255,87,1,255,53,0,0,255,255,70,37,120,72
2677,149,0,0,255,255,239,131,97,53,0,0,255,255,0,0,0,0,0,0,255,255,88,1,255,54,0,0,255,255,67,35,135,83
2678,143,0,0,255,255,235,129,95,52,0,0,255,255,0,0,0,0,0,0,255,255,91,1,255,53,0,0,255,255,72,38,122,72
2679,137,0,0,255,255,231,127,94,51,0,0,255,255,0,0,0,0,0,0,255,255,80,1,255,51,0,0,255,255,62,33,109,64
2680,135,0,0,255,255,230,126,93,51,0,0,255,255,0,0,0,0,0,0,255,255,82,1,255,50,0,0,255,255,64,34,115,68
